news_id,source_table,source_name,province_code,province_name,title,publish_date,year,month,avg_stay_days,bed_count,bed_usage_rate,discharge_cost,discharge_count,doctor_count,nurse_count,outpatient_cost,outpatient_visits
69,guangxi_news,省级卫健委,GX,广西,2021年11月份医疗服务信息发布指标表,2021-12-28,2021,11,8.07,311048.0,74.94,7006.0,889482.0,102411.0,161969.0,185.85,21425648.0
70,guangxi_news,省级卫健委,GX,广西,2021年10月份医疗服务信息发布指标表,2021-11-26,2021,10,7.31,308322.0,,7134.27,847141.0,101942.0,160932.0,182.92,19952130.0
71,guangxi_news,省级卫健委,GX,广西,2021年9月医疗服务信息发布指标表,2021-10-29,2021,9,8.36,307927.0,72.99,7179.4,858761.0,101711.0,160194.0,186.86,20017238.0
72,guangxi_news,省级卫健委,GX,广西,2021年8月医疗服务信息发布指标表,2021-09-26,2021,8,7.46,307004.0,76.43,7139.49,908578.0,101516.0,159719.0,187.85,21033555.0
73,guangxi_news,省级卫健委,GX,广西,2021年7月医疗服务信息发布指标表,2021-08-25,2021,7,7.37,306389.0,80.9,7015.59,963577.0,100694.0,158117.0,191.65,20363788.0
74,guangxi_news,省级卫健委,GX,广西,2021年6月医疗服务信息发布指标表,2021-07-27,2021,6,8.86,304149.0,79.35,6989.89,917126.0,99888.0,155927.0,182.46,20036188.0
75,guangxi_news,省级卫健委,GX,广西,2021年5月医疗服务信息发布指标表,2021-06-23,2021,5,7.26,301872.0,80.56,6826.02,,98466.0,155317.0,184.85,19718649.0
76,guangxi_news,省级卫健委,GX,广西,2021年4月医疗服务信息发布指标表,2021-05-25,2021,4,7.45,299738.0,76.69,7121.48,872570.0,99692.0,154756.0,192.88,18256152.0
77,guangxi_news,省级卫健委,GX,广西,2021年3月医疗服务信息发布指标表,2021-04-23,2021,3,64.0,297924.0,76.0,7549.66,867132.0,99412.0,153898.0,196.96,18780160.0
78,guangxi_news,省级卫健委,GX,广西,2021年2月医疗服务信息发布指标表,2021-03-24,2021,2,6.78,296716.0,63.28,6892.0,708034.0,99542.0,153332.0,182.15,16260917.0
79,guangxi_news,省级卫健委,GX,广西,2021年1月医疗服务信息发布指标表,2021-03-08,2021,1,7.07,296635.0,74.28,7186.57,797255.0,99758.0,152610.0,181.75,18245090.0
80,guangxi_news,省级卫健委,GX,广西,2020年11月医疗服务信息发布指标表,2020-12-23,2020,11,7.6,292112.0,82.62,7226.62,902468.0,96921.0,149560.0,187.44,19210178.0
81,guangxi_news,省级卫健委,GX,广西,2020年10月医疗服务信息发布指标表,2020-11-23,2020,10,7.18,292102.0,80.04,7015.72,886452.0,95803.0,148420.0,181.0,18834295.0
82,guangxi_news,省级卫健委,GX,广西,2020年9月医疗服务信息发布指标表,2020-10-29,2020,9,164.0,290412.0,81.6,7276.8,905552.0,94901.0,146550.0,187.31,18773951.0
83,guangxi_news,省级卫健委,GX,广西,2020年8月医疗服务信息发布指标表,2020-09-27,2020,8,7.65,288368.0,83.01,7340.59,912448.0,,145352.0,194.4,18485242.0
84,guangxi_news,省级卫健委,GX,广西,2020年7月医疗服务信息发布指标表,2020-08-21,2020,7,7.71,286162.0,80.87,7453.17,865471.0,91355.0,143424.0,197.05,17880956.0
85,guangxi_news,省级卫健委,GX,广西,2020年6月医疗服务信息发布指标表,2020-07-23,2020,6,7.95,283114.0,81.59,7513.87,860011.0,90266.0,141307.0,189.23,17162753.0
86,guangxi_news,省级卫健委,GX,广西,2020年5月医疗服务信息发布指标表,2020-06-24,2020,5,7.51,283112.0,80.16,7575.41,829669.0,8006.0,141007.0,188.53,16801126.0
87,guangxi_news,省级卫健委,GX,广西,2020年4月医疗服务信息发布指标表,2020-05-25,2020,4,7.66,281721.0,75.07,7855.29,758652.0,89890.0,140361.0,196.85,14947140.0
88,guangxi_news,省级卫健委,GX,广西,2020年3月医疗服务信息发布指标表,2020-04-23,2020,3,7.92,277094.0,71.73,7560.53,730160.0,89765.0,139906.0,196.0,13093171.0
89,guangxi_news,省级卫健委,GX,广西,2020年2月医疗服务信息发布指标表,2020-03-30,2020,2,6.85,275440.0,56.98,6503.43,538293.0,89864.0,140011.0,175.83,9139715.0
90,guangxi_news,省级卫健委,GX,广西,2020年1月医疗服务信息发布指标表,2020-03-04,2020,1,6.95,275742.0,69.09,6267.18,783063.0,89850.0,139990.0,168.89,16649805.0
91,guangxi_news,省级卫健委,GX,广西,2019年11月医疗服务信息发布指标表,2019-12-25,2019,11,,270861.0,81.53,7138.03,826716.0,86258.0,135783.0,179.64,18908016.0
92,guangxi_news,省级卫健委,GX,广西,2019年10月医疗服务信息发布指标表,2019-11-25,2019,10,7.39,269111.0,81.16,6999.47,840408.0,848988.0,134738.0,172.91,19043245.0
93,guangxi_news,省级卫健委,GX,广西,2019年9月医疗服务信息发布指标表,2019-10-24,2019,9,7.77,267880.0,98.84,7130.42,811283.0,85714.0,134162.0,175.37,18709635.0
94,guangxi_news,省级卫健委,GX,广西,2019年8月医疗服务信息发布指标表,2019-09-25,2019,8,7.55,268007.0,82.07,7091.12,861220.0,84845.0,132982.0,182.0,18921941.0
95,guangxi_news,省级卫健委,GX,广西,2019年7月医疗服务信息发布指标表,2019-08-26,2019,7,7.42,265594.0,88.46,6823.5,953230.0,83794.0,132480.0,177.69,19874846.0
96,guangxi_news,省级卫健委,GX,广西,2019年6月医疗服务信息发布指标表,2019-07-24,2019,6,7.46,263973.0,88.26,6531.07,912904.0,83123.0,131041.0,166.42,19326200.0
97,guangxi_news,省级卫健委,GX,广西,2019年5月医疗服务信息发布指标表,2019-06-25,2019,5,9.31,263382.0,89.37,6660.95,935191.0,82937.0,130459.0,162.82,20331378.0
98,guangxi_news,省级卫健委,GX,广西,2019年4月医疗服务信息发布指标表,2019-05-24,2019,4,7.45,261253.0,88.13,6647.52,669606.0,82461.0,129841.0,165.1,19238323.0
99,guangxi_news,省级卫健委,GX,广西,2019年3月医疗服务信息发布指标表,2019-04-23,2019,3,7.58,258096.0,87.76,6878.48,893299.0,82194.0,129300.0,164.22,19105969.0
100,guangxi_news,省级卫健委,GX,广西,2019年2月医疗服务信息发布指标表,2019-04-01,2019,2,6.71,255714.0,74.53,6670.77,701777.0,81780.0,128910.0,165.0,15753315.0
101,guangxi_news,省级卫健委,GX,广西,2019年1月医疗服务信息发布指标表,2019-03-12,2019,1,7.24,256023.0,,6658.48,835622.0,81104.0,128193.0,160.44,19287222.0
102,guangxi_news,省级卫健委,GX,广西,2018年11月医疗服务信息发布指标表,2018-12-24,2018,11,98.0,250754.0,866.8,6680.69,811746.0,,126257.0,164.63,19359221.0
103,guangxi_news,省级卫健委,GX,广西,2018年10月医疗服务信息发布指标表,2018-11-23,2018,10,7.36,249507.0,80.59,6517.25,90694.0,79609.0,125864.0,160.52,18665843.0
104,guangxi_news,省级卫健委,GX,广西,2018年9月医疗服务信息发布指标表,2018-10-26,2018,9,8.64,247994.0,188.4,6651.83,751652.0,79280.0,124561.0,162.0,18399968.0
105,guangxi_news,省级卫健委,GX,广西,2018年8月医疗服务信息发布指标表,2018-09-25,2018,8,7.63,247269.0,80.6,6725.88,776647.0,78797.0,123586.0,167.67,19057144.0
106,guangxi_news,省级卫健委,GX,广西,2018年7月医疗服务信息发布指标表,2018-08-24,2018,7,7.56,246245.0,83.26,6493.93,802512.0,,122623.0,164.36,19328240.0
107,guangxi_news,省级卫健委,GX,广西,2018年6月医疗服务信息发布指标表,2018-07-24,2018,6,64.0,244974.0,82.6,6427.49,773551.0,77601.0,121709.0,157.8,19263848.0
108,guangxi_news,省级卫健委,GX,广西,2018年5月医疗服务信息发布指标表,2018-06-22,2018,5,7.41,244430.0,85.24,6389.46,828201.0,77408.0,121605.0,156.0,20274119.0
109,guangxi_news,省级卫健委,GX,广西,2018年4月医疗服务信息发布指标表,2018-05-23,2018,4,7.79,243124.0,80.63,6418.58,741840.0,76952.0,121349.0,153.23,18460765.0
110,guangxi_news,省级卫健委,GX,广西,2018年3月医疗服务信息发布指标表,2018-04-27,2018,3,7.51,242087.0,83.01,6529.02,,10894.0,120920.0,156.32,19451211.0
111,guangxi_news,省级卫健委,GX,广西,2018年2月份医疗服务信息发布指标表,2018-03-23,2018,2,6.9,241137.0,68.86,6068.81,625509.0,76356.0,122108.0,152.72,16043213.0
112,guangxi_news,省级卫健委,GX,广西,2018年1月医疗服务信息发布指标表,2018-03-02,2018,1,7.17,240797.0,,6266.4,700659.0,76215.0,122057.0,152.8,18515644.0
113,guangxi_news,省级卫健委,GX,广西,2017年11月医疗服务信息发布指标表,2017-12-25,2017,11,7.54,232805.0,79.35,6458.75,699411.0,75592.0,118217.0,151.0,18818968.0
114,guangxi_news,省级卫健委,GX,广西,2017年10月医疗服务信息发布指标表,2017-11-24,2017,10,7.06,232545.0,77.53,5927.76,724552.0,75180.0,117439.0,148.11,19730068.0
115,guangxi_news,省级卫健委,GX,广西,2017年9月医疗服务信息发布指标表,2017-10-26,2017,9,7.64,231692.0,79.46,6062.59,725305.0,74889.0,116919.0,148.0,19183630.0
116,guangxi_news,省级卫健委,GX,广西,2017年8月医疗服务信息发布指标表,2017-09-25,2017,8,7.4,230219.0,82.35,6077.04,765165.0,74707.0,116631.0,162.62,18954898.0
117,guangxi_news,省级卫健委,GX,广西,2017年7月医疗服务信息发布指标表,2017-08-25,2017,7,7.1,230245.0,88.13,5580.56,818045.0,74587.0,114529.0,141.03,20939275.0
118,guangxi_news,省级卫健委,GX,广西,2017年6月医疗服务信息发布指标表,2017-07-27,2017,6,7.45,228673.0,,5626.54,831710.0,74188.0,113781.0,139.44,21079217.0
119,guangxi_news,省级卫健委,GX,广西,2017年5月医疗服务信息发布指标表,2017-06-23,2017,5,7.23,227283.0,88.06,5562.56,821630.0,73957.0,113551.0,136.41,21412384.0
120,guangxi_news,省级卫健委,GX,广西,2017年4月医疗服务信息发布指标表,2017-05-25,2017,4,7.23,225037.0,86.94,5610.91,761810.0,73481.0,113269.0,136.29,20124803.0
121,guangxi_news,省级卫健委,GX,广西,2017年3月份医疗服务信息发布指标表,2017-04-26,2017,3,7.49,223898.0,84.26,5805.09,758512.0,73335.0,113139.0,138.32,19688824.0
122,guangxi_news,省级卫健委,GX,广西,2017年2月医疗服务信息发布指标表,2017-03-22,2017,2,88.0,223823.0,668.4,5745.21,622345.0,73128.0,112867.0,144.0,17138002.0
